MacroPlot.Name,Monitoring.Status,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIED 02,Pre,6/16/1994 12:00:00 AM,24,3,15,False,1.5,0.1,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,25,3,20,False,2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,26,3,25,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,27,3,30,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,28,3,35,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,29,3,40,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,30,3,45,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,31,4,1,False,3,1,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,32,4,5,False,3,1,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,33,4,10,False,3,1,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,34,4,15,False,1.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,35,4,20,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,36,4,25,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,37,4,30,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,38,4,35,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,39,4,40,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 02,Pre,6/16/1994 12:00:00 AM,40,4,45,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,,,,,,,,,,,,,4,,,,,,,True,
PIED 09,01Post,5/27/1993 12:00:00 AM,1,1,1,False,0.1,1,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,2,1,5,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,3,1,10,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,4,1,15,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,5,1,20,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,6,1,25,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,7,1,30,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,8,1,35,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,9,1,40,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,10,1,45,False,0.5,1,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,11,2,1,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,12,2,5,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,13,2,10,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,14,2,15,False,0.1,0.5,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,15,2,20,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,16,2,25,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,17,2,30,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,18,2,35,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,19,2,40,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,20,2,45,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,21,3,1,False,0.5,1.5,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,22,3,5,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,23,3,10,False,0.5,0.5,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,24,3,15,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,25,3,20,False,0.5,0.5,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,26,3,25,False,0.5,0.5,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,27,3,30,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,28,3,35,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,29,3,40,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,30,3,45,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,31,4,1,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,32,4,5,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,33,4,10,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,34,4,15,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,35,4,20,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,36,4,25,False,0.5,0.5,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,37,4,30,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,38,4,35,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,39,4,40,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Post,5/27/1993 12:00:00 AM,40,4,45,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,,,,,,,,,,,,,4,,,,,,,True,
PIED 09,01Year1,10/11/1994 12:00:00 AM,1,1,1,False,0.5,0.7,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,2,1,5,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,3,1,10,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,4,1,15,False,0.2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,5,1,20,False,0.2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,6,1,25,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,7,1,30,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,8,1,35,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,9,1,40,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,10,1,45,False,0.3,0.2,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,11,2,1,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,12,2,5,False,0.3,0.1,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,13,2,10,False,0.3,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,14,2,15,False,0.5,0.7,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,15,2,20,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,16,2,25,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,17,2,30,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,18,2,35,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,19,2,40,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,20,2,45,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,21,3,1,False,1,1.7,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,22,3,5,False,0.2,0.1,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,23,3,10,False,0.1,0.4,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,24,3,15,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,25,3,20,False,0.3,0.9,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,26,3,25,False,0.2,0.1,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,27,3,30,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,28,3,35,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,29,3,40,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,30,3,45,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,31,4,1,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,32,4,5,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,33,4,10,False,0.2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,34,4,15,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,35,4,20,False,0.2,0.1,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,36,4,25,False,0.3,0.1,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,37,4,30,False,0.3,0.3,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,38,4,35,False,0.2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,39,4,40,False,0.2,0.2,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year1,10/11/1994 12:00:00 AM,40,4,45,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,,,,,,,,,,,,,4,,,,,,,True,
PIED 09,01Year2,10/18/1995 12:00:00 AM,1,1,1,False,0.3,0.4,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,2,1,5,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,3,1,10,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,4,1,15,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,5,1,20,False,0.1,0.1,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,6,1,25,False,0.3,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,7,1,30,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,8,1,35,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,9,1,40,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,10,1,45,False,0.4,0.1,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,11,2,1,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,12,2,5,False,0.2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,13,2,10,False,0.3,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,14,2,15,False,0.5,0.2,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,15,2,20,False,1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,16,2,25,False,0.2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,17,2,30,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,18,2,35,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,19,2,40,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,20,2,45,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,21,3,1,False,1.3,1.4,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,22,3,5,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,23,3,10,False,0.1,0.5,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,24,3,15,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,25,3,20,False,0.5,0.2,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,26,3,25,False,0.2,0.1,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,27,3,30,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,28,3,35,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,29,3,40,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,30,3,45,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,31,4,1,False,0,0.1,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,32,4,5,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,33,4,10,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,34,4,15,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,35,4,20,False,0.2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,36,4,25,False,0.5,1,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,37,4,30,False,0.5,0.5,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,38,4,35,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,39,4,40,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year2,10/18/1995 12:00:00 AM,40,4,45,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel4_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,,,,,,,,,,,,,4,,,,,,,True,
PIED 09,01Year5,5/31/1998 12:00:00 AM,1,1,1,False,0.6,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,2,1,5,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,3,1,10,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,4,1,15,False,0.4,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,5,1,20,False,0.2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,6,1,25,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,7,1,30,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,8,1,35,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,9,1,40,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,10,1,45,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel1_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,11,2,1,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,12,2,5,False,1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,13,2,10,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,14,2,15,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,15,2,20,False,0.2,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,16,2,25,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,17,2,30,False,1.2,0.2,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,18,2,35,False,0.5,0,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,19,2,40,False,1.2,0.2,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,20,2,45,False,1.6,0.3,0,PIED,From FMH DFLITDUF 1060,,, fuel2_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,21,3,1,False,2.5,0.8,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,22,3,5,False,1.9,0.5,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,23,3,10,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,24,3,15,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,25,3,20,False,1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,26,3,25,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,27,3,30,False,0.1,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,28,3,35,False,0,0,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,29,3,40,False,2.1,0.1,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
PIED 09,01Year5,5/31/1998 12:00:00 AM,30,3,45,False,2.7,0.3,0,PIED,From FMH DFLITDUF 1060,,, fuel3_ALL,,,,,,,,,
